id,stem,surface_kind,xres,yres,xreal_m,z_range_m,clean_rms_m,degraded_rms_m,has_real_periodicity,n_artifacts,tilt,bow,row_offsets,scars,spikes,hum,line_noise,bow_amp_m,hum_amp_m,hum_angle_deg,hum_period_px,line_noise_sigma_m,n_particles,n_scars,n_spikes,n_terraces,psd_beta,row_offset_sigma_m,scar_amp_m,spike_amp_m,tilt_x_m,tilt_y_m,true_angle_deg,true_period_px
0,00000_grating,grating,256,256,5e-06,7.525984244311229e-07,3.320637843241081e-07,3.330940042775541e-07,1,1,0,0,0,0,1,0,0,,,,,,,,31,,,,,1.0729039743394867e-06,,,14.07,22.55
1,00001_smooth,smooth,256,256,1e-05,4.5232561912636844e-07,9.100719701833827e-08,4.789203259073721e-07,0,6,1,0,1,1,1,1,1,,1.9657170585055524e-07,160.003,20.129,6.129203039342602e-08,,11,24,,,8.043047510150316e-08,7.291413507727414e-08,2.3606536040566148e-06,-2.6315153859875927e-07,1.2436622730987514e-06,,
2,00002_terraces,terraces,256,256,1e-05,1.0338833431380132e-06,2.525806937232492e-07,2.6900759376296456e-07,0,2,0,1,0,1,0,0,0,1.6594719708850087e-06,,,,,,3,,2,,,4.801574004937548e-07,,,,,
3,00003_grating,grating,256,256,2e-05,1.1268325321876436e-06,4.952475681374045e-07,5.243603857329461e-07,1,3,0,0,1,1,0,0,1,,,,,6.836533551311821e-08,,5,,,,1.489830049696306e-07,2.658619076003127e-07,,,,13.82,16.3
4,00004_grating,grating,256,256,1e-05,9.464154779158666e-07,4.2774871152564714e-07,4.304799719203586e-07,1,2,0,0,0,0,1,0,1,,,,,4.03124170434999e-08,,,24,,,,,1.535851782837809e-06,,,132.49,15.35
5,00005_grating,grating,256,256,2e-05,7.050837150483455e-07,2.987141278004666e-07,3.0328448413174815e-07,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,1.725702754485445e-07,-5.7887590230568526e-08,40.75,28.51
6,00006_particles,particles,256,256,5e-05,1.0510276310819904e-06,1.4753676361599978e-07,4.444286759174816e-07,0,4,0,1,0,1,1,0,1,-3.4997180280542955e-06,,,,9.682007768963001e-08,10,11,16,,,,5.133548153039312e-07,1.5426592157645663e-06,,,,
7,00007_particles,particles,256,256,1e-05,4.813204878369554e-07,8.615295294907244e-08,4.158872291403072e-07,0,4,1,0,1,1,1,0,0,,,,,,56,7,25,,,1.0345580568825841e-07,5.408908165922901e-07,7.133217474996534e-07,1.0360799582621356e-07,-1.3712970900466238e-06,,
8,00008_rough,rough,256,256,2e-05,1.1656734279093546e-06,1.9895038441015554e-07,3.006365652979928e-07,0,3,0,0,0,0,1,1,1,,2.6865588651636153e-07,15.302,11.286,1.0018649194059991e-07,,,31,,3.471,,,1.782784983445618e-06,,,,
9,00009_terraces,terraces,256,256,5e-05,1.1128733528492251e-06,1.65248877991755e-07,4.6172676465636457e-07,0,2,0,1,0,0,0,0,1,3.615591613375709e-06,,,,1.2751621184516123e-07,,,,6,,,,,,,,
10,00010_particles,particles,256,256,5e-05,3.6685737519583243e-07,5.674488679441391e-08,1.6297270575588267e-07,0,4,1,1,0,1,1,0,0,1.0325710775866335e-06,,,,,30,11,16,,,,3.781706404120287e-07,1.0016571680686801e-06,2.476691762717809e-07,-1.4797471758847138e-07,,
11,00011_lattice,lattice,256,256,1e-05,2.4576283266333877e-07,6.143481303673498e-08,1.0738258123465495e-07,1,3,0,1,1,0,0,0,1,6.727251382768249e-07,,,,3.173436530760501e-08,,,,,,3.6255930326531705e-08,,,,,53.95,21.12
12,00012_grating,grating,256,256,1e-05,3.3622460204675187e-07,1.4777249980025814e-07,1.6689849374512515e-07,1,4,0,0,1,1,0,1,1,,9.697950093653091e-08,60.043,18.76,7.041635845406292e-09,,9,,,,3.068528717680415e-08,1.4100651009678954e-07,,,,178.84,14.53
13,00013_particles,particles,256,256,5e-05,1.2941566342279074e-06,1.969527958469413e-07,1.2312628982695198e-06,0,4,1,0,1,0,0,1,1,,6.713115837731836e-08,40.782,24.664,8.549690112351109e-08,24,,,,,8.176936129271265e-08,,,3.5057072060332916e-06,-2.149436442531662e-06,,
14,00014_particles,particles,256,256,2e-05,3.715904936547855e-07,8.022818818649077e-08,1.4452162750966594e-07,0,2,0,1,0,0,0,1,0,-7.735255534074996e-07,1.1515371874844151e-07,107.994,18.171,,53,,,,,,,,,,,
15,00015_lattice,lattice,256,256,2e-05,2.0207475048566088e-07,5.0521951814756024e-08,8.168471612834023e-08,1,3,0,1,0,0,0,1,1,-9.590125486504136e-08,8.139291637321784e-08,33.457,11.518,2.664478734919862e-08,,,,,,,,,,,24.47,19.95
16,00016_particles,particles,256,256,2e-05,1.3854350679386135e-06,2.0346720408240112e-07,6.834119631095987e-07,0,4,1,1,0,1,1,0,0,-5.2121011020294645e-06,,,,,21,9,21,,,,3.635472349270767e-07,6.443038085584357e-06,4.154588502772048e-07,8.18359606493963e-07,,
17,00017_particles,particles,256,256,2e-05,1.3778887723249442e-06,2.8957509394520726e-07,6.4222477028118e-07,0,3,0,1,1,0,1,0,0,-4.224340869529938e-06,,,,,54,,10,,,4.185700674138525e-07,,6.005428070145516e-06,,,,
18,00018_particles,particles,256,256,5e-05,7.5114689091667e-07,1.3611561888760886e-07,7.236185885754517e-07,0,3,1,0,1,0,1,0,0,,,,,,24,,31,,,1.9823467077372645e-07,,2.125153815027214e-06,-2.2430875770624313e-06,2.66448047417578e-07,,
19,00019_smooth,smooth,256,256,5e-05,1.8754447076225581e-07,3.6405279798698204e-08,1.0938194212274126e-07,0,4,1,0,1,1,0,1,0,,7.769827012158046e-08,141.192,9.099,,,11,,,,5.261047289180054e-08,1.1876069953223516e-07,,1.8028413956089365e-07,-8.987612017377342e-09,,
20,00020_terraces,terraces,256,256,5e-05,4.862963084693063e-07,7.435011029567862e-08,1.2197488382059435e-07,0,4,0,1,0,1,0,1,1,9.460821926275422e-07,3.1423713829635614e-08,159.455,23.59,2.3628942361878585e-08,,2,,6,,,9.886637244994818e-08,,,,,
21,00021_rough,rough,256,256,2e-05,2.8844295621354313e-07,3.554660196737255e-08,5.795080406703116e-08,0,2,0,1,0,0,1,0,0,-4.060991069493751e-07,,,,,,,21,,2.112,,,5.858070483760463e-07,,,,
22,00022_lattice,lattice,256,256,1e-05,7.246999677377072e-07,1.8130896211415227e-07,3.4079755618725734e-07,1,4,0,1,1,1,0,0,1,-2.369898539804161e-06,,,,1.9160491379452538e-08,,8,,,,1.3357573357129176e-07,4.5019922644203425e-07,,,,7.28,20.42
23,00023_smooth,smooth,256,256,5e-06,1.5809797052385363e-07,3.493750063818195e-08,1.2855147988110574e-07,0,4,1,0,1,1,1,0,0,,,,,,,3,31,,,1.0388028067126943e-08,1.6394200311371254e-07,3.510444754754252e-07,-2.3081746082243699e-07,-3.699557321577697e-07,,
24,00024_rough,rough,256,256,1e-05,5.461946926300516e-07,9.481740332035306e-08,4.962565663578465e-07,0,4,1,0,1,1,0,0,1,,,,,3.616328580302767e-08,,10,,,3.153,1.8022448560432246e-07,1.7812827093971142e-07,,2.2344400437174382e-07,-1.583043372701599e-06,,
25,00025_terraces,terraces,256,256,5e-06,3.5773185344709963e-07,5.283187970346116e-08,1.5596334811199713e-07,0,2,1,1,0,0,0,0,0,8.669801568394147e-07,,,,,,,,5,,,,,2.570143489388761e-07,-3.1583709553932737e-07,,
26,00026_terraces,terraces,256,256,5e-06,1.1577895581653698e-06,2.7752696334691676e-07,2.8608707865736663e-07,0,2,0,0,0,1,0,0,1,,,,,3.925261861687534e-08,,6,,2,,,6.651724506059012e-07,,,,,
27,00027_lattice,lattice,256,256,5e-05,9.96588366058829e-07,2.490995137862776e-07,5.702917096042243e-07,1,4,0,1,0,1,0,1,1,-3.4584294983806454e-06,4.413048023584878e-07,9.966,7.94,1.149798489562277e-07,,4,,,,,7.599109216592673e-07,,,,58.94,18.62
28,00028_rough,rough,256,256,5e-05,1.1154603533225804e-06,1.4262473113712754e-07,3.565991403539163e-07,0,4,0,1,1,1,1,0,0,-1.0725108565496493e-06,,,,,,12,36,,2.234,2.1845559281869306e-07,1.2609053290951034e-06,6.140190503139157e-06,,,,
29,00029_smooth,smooth,256,256,5e-05,7.220070556596055e-07,1.3952947280270954e-07,7.245619356707759e-07,0,7,1,1,1,1,1,1,1,9.821443725249416e-07,2.5123636851916785e-07,52.179,13.969,4.2986026300548724e-08,,8,21,,,2.382924721308116e-07,7.324305481241029e-07,3.0028756370132617e-06,-1.7763028085606025e-06,-9.450783993762285e-07,,
30,00030_rough,rough,256,256,5e-05,9.169817320950199e-07,1.222135159827046e-07,4.2620624249429156e-07,0,5,1,0,1,1,1,0,1,,,,,1.0309764851609225e-07,,2,36,,2.376,1.9194463898200945e-07,7.332287290959983e-07,5.022520247596644e-06,-4.5764651630671337e-07,9.996479419421061e-07,,
31,00031_smooth,smooth,256,256,5e-06,1.311172006750698e-06,2.586490070989257e-07,5.902127894360043e-07,0,3,0,1,1,0,0,1,0,5.0118342553875534e-06,3.051125706759469e-07,90.126,8.85,,,,,,,4.445780266146328e-08,,,,,,
32,00032_particles,particles,256,256,5e-05,4.123520755960023e-07,7.630825722305837e-08,7.630825722305837e-08,0,0,0,0,0,0,0,0,0,,,,,,60,,,,,,,,,,,
33,00033_smooth,smooth,256,256,5e-05,1.331185620444405e-06,2.905262941904095e-07,4.356926676892888e-07,0,1,0,0,1,0,0,0,0,,,,,,,,,,,3.0434370486199713e-07,,,,,,
34,00034_terraces,terraces,256,256,5e-05,9.451393744624208e-07,1.871357784203099e-07,6.736804924044008e-07,0,2,1,0,0,0,1,0,0,,,,,,,,17,5,,,,1.086401987693932e-06,1.7182731023541893e-06,-1.4677014937232301e-06,,
35,00035_terraces,terraces,256,256,1e-05,1.3950027387682087e-06,2.3984009551561493e-07,5.307676180551314e-07,0,4,0,0,1,1,1,0,1,,,,,1.5922858057397895e-07,,9,2,4,,4.365312246118771e-07,1.2172466095385158e-06,7.787389482911687e-06,,,,
36,00036_particles,particles,256,256,2e-05,1.0982186325628218e-06,2.0205618309350142e-07,4.206014326382845e-07,0,3,0,1,1,0,0,1,0,-2.5694300009975574e-06,1.8936577545508196e-07,86.498,15.221,,30,,,,,1.8344989286892663e-07,,,,,,
37,00037_terraces,terraces,256,256,1e-05,4.0539589459724346e-07,6.994179980976706e-08,1.4476040430884432e-07,0,3,0,1,1,0,0,0,1,3.209190058596429e-07,,,,2.2154524638714762e-08,,,,6,,1.1570216820984658e-07,,,,,,
38,00038_rough,rough,256,256,5e-05,1.8925776555341287e-07,3.624278482922947e-08,4.627649362811062e-08,0,2,0,0,0,1,1,0,0,,,,,,,11,10,,3.298,,2.204061948479607e-07,1.095202503713866e-06,,,,
39,00039_grating,grating,256,256,5e-05,5.427959155204367e-07,2.354999332742155e-07,3.106189335112517e-07,1,5,0,1,1,1,1,0,1,1.7040446901014873e-06,,,,3.135154410344847e-08,,12,28,,,5.30325676024727e-08,2.940192179362163e-07,7.814243734103276e-07,,,54.36,34.53
40,00040_terraces,terraces,256,256,2e-05,1.2442127992095736e-06,1.7828458559004658e-07,4.0699733897578594e-07,0,1,0,1,0,0,0,0,0,3.189671389704629e-06,,,,,,,,6,,,,,,,,
41,00041_grating,grating,256,256,5e-06,1.020137730839361e-06,4.498477616769403e-07,5.775203767559332e-07,1,2,0,0,0,0,1,1,0,,5.085661543126234e-07,155.063,17.314,,,,5,,,,,5.14195293434787e-06,,,157.27,9.22
42,00042_grating,grating,256,256,5e-05,6.976360977616141e-07,3.0137473605030087e-07,5.463047529036354e-07,1,5,1,1,1,1,0,0,1,1.7431650677558178e-06,,,,2.6357968924783696e-08,,9,,,,2.1663359973436802e-07,4.470153003725961e-07,,-8.151933305281083e-07,-8.781413697673803e-07,146.85,34.17
43,00043_lattice,lattice,256,256,2e-05,1.5550212279738936e-07,3.887736221244362e-08,4.7133025317998814e-08,1,2,0,0,0,1,0,0,1,,,,,2.042154090452594e-08,,3,,,,,1.7635108685454265e-07,,,,53.47,10.92
44,00044_terraces,terraces,256,256,1e-05,8.398991323402402e-07,1.436306993857346e-07,6.30172518706453e-07,0,5,1,1,1,1,0,1,0,-3.6710149236707185e-07,2.868606289587843e-07,12.207,13.452,,,11,,5,,2.912101769999077e-07,9.350745293230288e-07,,-1.671014435082165e-06,2.5156450002160683e-07,,
45,00045_smooth,smooth,256,256,2e-05,1.2038115709389236e-06,2.9359414801514896e-07,4.787644798369854e-07,0,3,0,0,0,0,1,1,1,,4.605763367430237e-07,132.841,23.209,1.6331682304865868e-07,,,15,,,,,2.652757889766493e-06,,,,
46,00046_grating,grating,256,256,5e-06,1.2924018511161392e-06,5.90392488376712e-07,6.150734620277253e-07,1,2,0,0,0,0,0,1,1,,1.6508238433955503e-07,85.882,7.981,1.224150030357548e-07,,,,,,,,,,,20.08,12.63
47,00047_particles,particles,256,256,5e-06,1.987510181744497e-07,4.577434325479872e-08,5.395094235496503e-08,0,1,0,0,0,1,0,0,0,,,,,,41,11,,,,,1.7298867748992707e-07,,,,,
48,00048_terraces,terraces,256,256,1e-05,4.5153160711407e-07,8.213998769243108e-08,3.2709437744551873e-07,0,6,1,0,1,1,1,1,1,,2.0258721518759882e-08,98.183,8.67,1.542712004781047e-08,,5,26,5,,1.7293821088012525e-08,4.809904034133585e-07,1.2433045130807542e-06,-1.1259391222968473e-06,-2.335580352100609e-07,,
49,00049_rough,rough,256,256,2e-05,4.7477102376925596e-07,6.482166219670014e-08,4.530109655455305e-07,0,3,1,1,0,0,0,1,0,-1.6937788030494702e-06,2.1314608295095595e-08,28.882,18.643,,,,,,2.34,,,,-1.0848390590250138e-06,-8.585787926386467e-07,,
50,00050_terraces,terraces,256,256,5e-05,2.8555516479394077e-07,4.48868246530424e-08,2.5402730070940715e-07,0,5,1,1,0,1,1,0,1,1.1341496625910467e-06,,,,4.2182375404309304e-08,,1,7,6,,,2.6613556656848773e-07,3.3596798421371965e-07,-4.991370501291998e-07,-6.015207993991071e-07,,
51,00051_terraces,terraces,256,256,2e-05,7.339917771722319e-07,1.257729643081742e-07,5.507948744883251e-07,0,4,1,1,0,0,0,1,1,1.8482634683301923e-06,3.378152865668552e-07,52.061,15.022,1.0282617836796838e-07,,,,5,,,,,1.4089270698032841e-06,-2.3133323626272275e-08,,
52,00052_terraces,terraces,256,256,2e-05,1.386229444527093e-06,2.5575547792196647e-07,3.7563806748603706e-07,0,2,0,0,1,0,1,0,0,,,,,,,,33,6,,2.3849471075299667e-07,,6.4128982259477035e-06,,,,
53,00053_grating,grating,256,256,5e-05,1.2974509372935444e-06,5.722971434594806e-07,8.233581948356106e-07,1,5,0,1,1,1,0,1,1,4.350375544958618e-06,4.56902896271965e-07,0.847,15.761,4.037204450273551e-08,,11,,,,9.342139805957958e-08,1.1702385795934765e-06,,,,46.23,33.23
54,00054_particles,particles,256,256,5e-06,8.163209313333589e-07,1.7617665215318473e-07,2.914912640461128e-07,0,2,0,1,0,0,0,0,1,-2.1189468916032273e-06,,,,6.959708223226343e-08,36,,,,,,,,,,,
55,00055_grating,grating,256,256,5e-06,9.973299810038034e-07,4.144393918396563e-07,5.408679852683517e-07,1,4,0,0,1,0,1,1,1,,4.7116674969057195e-07,133.421,13.419,6.851883334869097e-08,,,22,,,6.021896188937743e-08,,1.753848304787054e-06,,,28.73,22.56
56,00056_grating,grating,256,256,1e-05,5.062125362683193e-07,2.2589501779652475e-07,2.438434954359555e-07,1,3,0,1,0,1,0,1,0,4.7604540210156965e-07,9.447151999206871e-08,25.856,19.509,,,1,,,,,2.0290112958522588e-07,,,,80.1,34.59
57,00057_grating,grating,256,256,5e-05,1.3950494906513547e-06,6.05794043465662e-07,1.4959694451561507e-06,1,4,1,0,0,1,1,0,1,,,,,2.285589142714402e-08,,10,3,,,,2.2421116104675696e-07,3.77716324784864e-06,-3.7448455030010547e-06,-2.938772043410805e-06,54.3,10.86
58,00058_smooth,smooth,256,256,2e-05,1.3344329346659584e-06,2.990616144412376e-07,5.639096878602253e-07,0,5,0,1,1,1,1,0,1,-1.5560693470651338e-06,,,,1.4498380581065175e-07,,3,2,,,4.003968060693648e-07,1.5920107934201432e-06,7.5871583032045254e-06,,,,
59,00059_grating,grating,256,256,2e-05,7.9989539543946e-07,3.4504824439499414e-07,3.942483723995695e-07,1,4,0,1,1,0,1,0,1,3.49446477914164e-07,,,,7.824321774481063e-08,,,9,,,1.7134436062103454e-07,,1.4838000130709196e-06,,,76.0,18.54
60,00060_rough,rough,256,256,1e-05,1.7407210647619982e-07,2.405722794773544e-08,1.6281610405525066e-07,0,5,1,1,1,1,1,0,0,-8.988260049660327e-08,,,,,,12,39,,2.482,2.4240639274558288e-08,4.335430228713079e-08,2.8152293071818667e-07,-5.216136613522076e-07,-1.7663067165513153e-07,,
61,00061_lattice,lattice,256,256,5e-05,1.365610743621154e-06,3.410613670161346e-07,4.129011137173497e-07,1,4,0,1,0,0,1,1,1,-1.2078640642166865e-06,6.149652562521997e-08,23.494,4.709,6.081531996033734e-08,,,40,,,,,7.210271894295175e-06,,,3.53,10.63
62,00062_smooth,smooth,256,256,1e-05,8.182513292321007e-07,1.866589617827879e-07,7.568576354977911e-07,0,3,1,1,0,0,0,1,0,1.8489564235343952e-06,1.3814586448120755e-07,137.394,5.291,,,,,,,,,,-1.7561575503512167e-06,2.425335618267778e-06,,
63,00063_grating,grating,256,256,5e-06,1.2965732966247532e-06,5.687574695013782e-07,1.0641232681392148e-06,1,5,1,0,0,1,1,1,1,,2.5398270216601656e-07,27.709,3.567,1.4546635665906547e-07,,3,10,,,,5.510875411213712e-07,6.092098174022614e-06,3.016176043786731e-06,1.918459754103026e-07,163.41,11.42
64,00064_grating,grating,256,256,1e-05,1.2509476209901801e-06,5.430726589973601e-07,5.536598990908539e-07,1,3,0,0,0,0,1,1,1,,1.4147737443149727e-07,162.055,22.903,1.875334380420636e-08,,,6,,,,,3.914770301230855e-06,,,60.62,10.07
